,,,,TAE[DBOC] in kJ/mol ,,,,
,,,,HF,cc-pVQZ,cc-pVQZ,cc-pVQZ,
Filename,H,C,Electrons,∆CCSD,Best,cc-pVTZ,cc-pVDZ,
36react.xyz,10,7,52,36react.xyz,0.780880673,N/A,0.780880673,
36prod.xyz,10,7,52,36prod.xyz,0.747169516,N/A,0.747169516,
37react.xyz,10,7,52,37react.xyz,0.709286964,N/A,0.709286964,
38react.xyz,10,7,52,38react.xyz,0.681351644,N/A,0.681351644,
39react.xyz,10,7,52,39react.xyz,0.737418671,N/A,0.737418671,
40react.xyz,10,7,52,40react.xyz,0.712872084,N/A,0.712872084,
41react.xyz,10,7,52,41react.xyz,0.674521143,N/A,0.674521143,
42react.xyz,10,7,52,42react.xyz,0.731294955,N/A,0.731294955,
43react.xyz,8,6,44,43react.xyz,0.614157485,0.614157485,0.582322247,
43prod.xyz,8,6,44,43prod.xyz,0.637043969,0.637043969,0.604895509,
44react.xyz,8,6,44,44react.xyz,0.625676341,0.625676341,0.597873609,
44prod.xyz,8,6,44,44prod.xyz,0.563511328,N/A,0.563511328,
45react.xyz,10,7,52,45react.xyz,0.693241483,N/A,0.693241483,
45prod.xyz,10,7,52,45prod.xyz,0.68226348,N/A,0.68226348,
46react.xyz,10,7,52,46react.xyz,0.743940151,N/A,0.743940151,
46prod.xyz,10,7,52,46prod.xyz,0.710943655,N/A,0.710943655,
47react.xyz,10,7,52,47react.xyz,0.743616427,N/A,0.743616427,
47prod.xyz,10,7,52,47prod.xyz,0.712082859,N/A,0.712082859,
48react.xyz,10,7,52,48react.xyz,0.719673442,N/A,0.719673442,
48prod.xyz,10,7,52,48prod.xyz,0.682282121,N/A,0.682282121,
49react.xyz,8,6,44,49react.xyz,0.619881338,0.619881338,0.588150332,
49prod.xyz,8,6,44,49prod.xyz,0.617773586,0.617773586,0.586158891,
50react.xyz,8,6,44,50react.xyz,0.686928731,0.686928731,0.66037915,
51react.xyz,10,7,52,51react.xyz,0.716420185,N/A,0.716420185,
51prod.xyz,10,7,52,51prod.xyz,0.720564537,N/A,0.720564537,
52react.xyz,10,7,52,52react.xyz,0.697973422,N/A,0.697973422,
52prod.xyz,10,7,52,52prod.xyz,0.695518842,N/A,0.695518842,
53react.xyz,10,7,52,53react.xyz,0.711303085,N/A,0.711303085,
54react.xyz,10,7,52,54react.xyz,0.755154186,N/A,0.755154186,
55react.xyz,10,7,52,55react.xyz,0.731267125,N/A,0.731267125,
56react.xyz,10,7,52,56react.xyz,0.662787259,N/A,0.662787259,
56prod.xyz,10,7,52,56prod.xyz,0.674267257,N/A,0.674267257,
57react.xyz,10,7,52,57react.xyz,0.778233644,N/A,0.778233644,
58react.xyz,10,7,52,58react.xyz,0.727110958,N/A,0.727110958,
58prod.xyz,10,7,52,58prod.xyz,0.711301773,N/A,0.711301773,
60prod.xyz,10,7,52,60prod.xyz,0.717426802,N/A,0.717426802,
1.xyz,8,8,56,1.xyz,0.665384666,N/A,0.665384666,
2.xyz,8,8,56,2.xyz,0.684208976,N/A,0.684208976,
